CodigoEstacion,NombreEstacion,Variable,Parametro,Fecha,Unidad,Valor,NivelAprobacion
35030030,SENA [35030030],PRECIPITACION,Precipitación total mensual,2020-01-01 00:00,mm,21,Definitivo
35030030,SENA [35030030],PRECIPITACION,Precipitación total mensual,2020-02-01 00:00,mm,7.8,Definitivo
35030030,SENA [35030030],PRECIPITACION,Precipitación total mensual,2021-03-01 00:00,mm,195.2,Definitivo
35030030,SENA [35030030],PRECIPITACION,Precipitación total mensual,2021-04-01 00:00,mm,655.9,Definitivo
35030030,SENA [35030030],PRECIPITACION,Precipitación total mensual,2021-05-01 00:00,mm,672.8,Definitivo
35030030,SENA [35030030],PRECIPITACION,Precipitación total mensual,2021-06-01 00:00,mm,677.4,Definitivo
35030030,SENA [35030030],PRECIPITACION,Precipitación total mensual,2021-07-01 00:00,mm,457.5,Definitivo
35030030,SENA [35030030],PRECIPITACION,Precipitación total mensual,2021-08-01 00:00,mm,540.3,Definitivo
35030030,SENA [35030030],PRECIPITACION,Precipitación total mensual,2021-09-01 00:00,mm,256.7,Definitivo
35030030,SENA [35030030],PRECIPITACION,Precipitación total mensual,2021-10-01 00:00,mm,244.5,Definitivo
35030030,SENA [35030030],PRECIPITACION,Precipitación total mensual,2021-11-01 00:00,mm,256.4,Definitivo
35030030,SENA [35030030],PRECIPITACION,Precipitación total mensual,2021-12-01 00:00,mm,33.7,Definitivo
35030030,SENA [35030030],PRECIPITACION,Precipitación total mensual,2022-01-01 00:00,mm,56,Preliminar
35030030,SENA [35030030],PRECIPITACION,Precipitación total mensual,2022-02-01 00:00,mm,143,Preliminar
35030030,SENA [35030030],PRECIPITACION,Precipitación total mensual,2022-03-01 00:00,mm,353.5,Preliminar
35030030,SENA [35030030],PRECIPITACION,Precipitación total mensual,2022-04-01 00:00,mm,467,Preliminar
35030030,SENA [35030030],PRECIPITACION,Precipitación total mensual,2022-05-01 00:00,mm,890.8,Preliminar
35030030,SENA [35030030],PRECIPITACION,Precipitación total mensual,2022-08-01 00:00,mm,216.4,Preliminar
35030030,SENA [35030030],PRECIPITACION,Precipitación total mensual,2022-09-01 00:00,mm,331.4,Preliminar
35030030,SENA [35030030],PRECIPITACION,Precipitación total mensual,2022-10-01 00:00,mm,395.3,Preliminar
35030030,SENA [35030030],PRECIPITACION,Precipitación total mensual,2022-11-01 00:00,mm,279.2,Preliminar
35030030,SENA [35030030],PRECIPITACION,Precipitación total mensual,2022-12-01 00:00,mm,171.2,Preliminar
35030030,SENA [35030030],PRECIPITACION,Precipitación total mensual,2023-01-01 00:00,mm,395.6,Preliminar
35030030,SENA [35030030],PRECIPITACION,Precipitación total mensual,2023-02-01 00:00,mm,84.8,Preliminar
35030030,SENA [35030030],PRECIPITACION,Precipitación total mensual,2023-03-01 00:00,mm,240.7,Preliminar
35030030,SENA [35030030],PRECIPITACION,Precipitación total mensual,2023-04-01 00:00,mm,485.9,Preliminar
35030030,SENA [35030030],PRECIPITACION,Precipitación total mensual,2023-05-01 00:00,mm,586.1,Preliminar
35030030,SENA [35030030],PRECIPITACION,Precipitación total mensual,2023-06-01 00:00,mm,426.1,Preliminar
35030030,SENA [35030030],PRECIPITACION,Precipitación total mensual,2023-07-01 00:00,mm,434.9,Preliminar
35030030,SENA [35030030],PRECIPITACION,Precipitación total mensual,2023-09-01 00:00,mm,329.2,Preliminar
35030030,SENA [35030030],PRECIPITACION,Precipitación total mensual,2023-10-01 00:00,mm,410.4,Preliminar
35030030,SENA [35030030],PRECIPITACION,Precipitación total mensual,2023-11-01 00:00,mm,410.3,Preliminar
35030030,SENA [35030030],PRECIPITACION,Precipitación total mensual,2024-01-01 00:00,mm,3.2,Preliminar
35030030,SENA [35030030],PRECIPITACION,Precipitación total mensual,2024-02-01 00:00,mm,64.5,Preliminar
35030030,SENA [35030030],PRECIPITACION,Precipitación total mensual,2024-03-01 00:00,mm,95.5,Preliminar
35030030,SENA [35030030],PRECIPITACION,Precipitación total mensual,2024-04-01 00:00,mm,121.4,Preliminar
35030030,SENA [35030030],PRECIPITACION,Precipitación total mensual,2024-06-01 00:00,mm,412,Preliminar
35030030,SENA [35030030],PRECIPITACION,Precipitación total mensual,2024-07-01 00:00,mm,178,Preliminar
35030030,SENA [35030030],PRECIPITACION,Precipitación total mensual,2024-08-01 00:00,mm,191.1,Preliminar
35030030,SENA [35030030],PRECIPITACION,Precipitación total mensual,2024-09-01 00:00,mm,186.4,Preliminar
35030030,SENA [35030030],PRECIPITACION,Precipitación total mensual,2024-10-01 00:00,mm,279.6,Preliminar
35030030,SENA [35030030],PRECIPITACION,Precipitación total mensual,2024-11-01 00:00,mm,453.6,Preliminar
35030030,SENA [35030030],PRECIPITACION,Precipitación total mensual,2024-12-01 00:00,mm,302.3,Preliminar
35030030,SENA [35030030],PRECIPITACION,Precipitación total mensual,2025-01-01 00:00,mm,182.9,Preliminar
35030030,SENA [35030030],PRECIPITACION,Precipitación total mensual,2025-02-01 00:00,mm,32.2,Preliminar
