fecha,valor
2020-01-01,21.0
2020-02-01,7.8
2021-03-01,195.2
2021-04-01,655.9
2021-05-01,672.8
2021-06-01,677.4
2021-07-01,457.5
2021-08-01,540.3
2021-09-01,256.7
2021-10-01,244.5
2021-11-01,256.4
2021-12-01,33.7
2022-01-01,56.0
2022-02-01,143.0
2022-03-01,353.5
2022-04-01,467.0
2022-05-01,890.8
2022-08-01,216.4
2022-09-01,331.4
2022-10-01,395.3
2022-11-01,279.2
2022-12-01,171.2
2023-01-01,395.6
2023-02-01,84.8
2023-03-01,240.7
2023-04-01,485.9
2023-05-01,586.1
2023-06-01,426.1
2023-07-01,434.9
2023-09-01,329.2
2023-10-01,410.4
2023-11-01,410.3
2024-01-01,3.2
2024-02-01,64.5
2024-03-01,95.5
2024-04-01,121.4
2024-06-01,412.0
2024-07-01,178.0
2024-08-01,191.1
2024-09-01,186.4
2024-10-01,279.6
2024-11-01,453.6
2024-12-01,302.3
2025-01-01,182.9
2025-02-01,32.2
